filename,spanning_pct,rows_count,column_count,total_cells,aspect_ratio,width_added,height_added,is_complex,area_added
000003799615000064_f0930201510-q-t7,0.4444444444444444,27,9,135,1.3395029085140138,1266,321,1,-8042275
000002134416000050_a2015123110-k-t79,0.13333333333333333,6,5,26,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t649,0.4,5,9,27,5.692134831460674,0,410,1,-2079593
000007085816000166_bac-331201610xq-t248,0.37333333333333335,30,5,94,1.1858614232209739,1266,198,1,-7421690
000002134416000050_a2015123110-k-t46,0.36904761904761907,12,7,53,2.792723263506064,0,179,1,-909347
000007085816000166_bac-331201610xq-t216,0.4142857142857143,10,7,41,2.898169336384439,0,196,1,-992936
000007085816000166_bac-331201610xq-t545,0.375,16,9,90,2.164957264957265,0,48,1,-243168
000007085816000166_bac-331201610xq-t381,0.40555555555555556,40,9,214,0.8903339191564148,1578,0,1,-8981665
000003799615000064_f0930201510-q-t30,0.34285714285714286,14,5,46,2.332412523020258,0,90,1,-455940
000009341016000049_cvx-123115x10kdoc-t2,0.0,2,3,6,6.696275071633238,0,409,0,-1914003
000006480316000074_cvs-20151231x10k-t5,0.16326530612244897,7,7,41,4.382352941176471,0,344,1,-1742704
000007085816000166_bac-331201610xq-t479,0.3888888888888889,12,9,66,2.792723263506064,0,179,1,-909347
000002134416000050_a2015123110-k-t107,0.2857142857142857,6,7,30,4.956947162426615,0,377,1,-1912415
000003799620000010_f1231201910-k-t56,0.3492063492063492,7,9,41,4.382352941176471,0,344,1,-1742704
000003799620000010_f1231201910-k-t57,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000002134416000050_a2015123110-k-t296,0.3333333333333333,9,7,42,3.582743988684583,0,279,1,-1415947
000003799620000010_f1231201910-k-t157,0.25,9,8,54,3.582743988684583,0,279,1,-1415947
000003799615000064_f0930201510-q-t64,0.37777777777777777,10,9,56,3.272609819121447,0,246,1,-1246236
000003799620000010_f1231201910-k-t55,0.32142857142857145,8,7,38,3.9271317829457364,0,310,1,-1572993
000003799615000064_f0930201510-q-t101,0.34,10,5,33,3.272609819121447,0,246,1,-1246236
000009341016000049_cvx-123115x10kdoc-t36,0.21428571428571427,2,7,11,10.17269076305221,0,508,1,-2576061
000002134416000050_a2015123110-k-t187,0.14285714285714285,9,7,54,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t623,0.41836734693877553,14,7,57,2.444980694980695,0,115,1,-582590
000007085816000166_bac-331201610xq-t302,0.52,20,25,240,1.6011378002528445,1266,475,1,-8824972
000009341016000049_cvx-123115x10kdoc-t169,0.0,22,2,44,0.9174212241941325,1494,0,0,-8252629
000003799620000010_f1231201910-k-t295,0.3939393939393939,11,9,60,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t143,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000007085816000166_bac-331201610xq-t309,0.5128205128205128,6,13,38,4.515151515151516,0,352,1,-1785765
000007085816000166_bac-331201610xq-t334,0.37575757575757573,33,5,103,1.041529605263158,1266,50,1,-6671922
000002134416000050_a2015123110-k-t301,0.2857142857142857,6,7,30,4.956947162426615,0,377,1,-1912415
000009341016000049_cvx-123115x10kdoc-t137,0.2,5,3,12,5.692134831460674,0,410,1,-2079593
000003799615000064_f0930201510-q-t66,0.3492063492063492,7,9,41,4.382352941176471,0,344,1,-1742704
000003799620000010_f1231201910-k-t395,0.2698412698412698,21,3,46,1.694314381270903,1266,519,1,-9045343
000002134416000050_a2015123110-k-t160,0.2857142857142857,6,7,30,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t540,0.32575757575757575,12,11,89,2.1892826274848747,0,54,1,-276097
000009341016000049_cvx-123115x10kdoc-t41,0.21428571428571427,2,7,11,10.17269076305221,0,508,1,-2576061
000007085816000166_bac-331201610xq-t531,0.4358974358974359,9,13,66,2.955659276546091,0,204,1,-1035997
000003799615000064_f0930201510-q-t79,0.325,8,5,27,3.9271317829457364,0,310,1,-1572993
000003799615000064_f0930201510-q-t6,0.0,32,3,96,1.140990990990991,1266,156,0,-7208918
000007085816000166_bac-331201610xq-t199,0.47692307692307695,15,13,102,2.1055694098088114,0,31,1,-159579
000009341016000049_cvx-123115x10kdoc-t135,0.125,8,7,49,3.9271317829457364,0,310,1,-1572993
000003799620000010_f1231201910-k-t341,0.17142857142857143,5,7,29,5.692134831460674,0,410,1,-2079593
000007085816000166_bac-331201610xq-t46,0.6057692307692307,8,13,41,3.4,0,260,1,-1319693
000007085816000166_bac-331201610xq-t28,0.3105590062111801,23,7,111,1.5095351609058403,1266,427,1,-8581804
000003799620000010_f1231201910-k-t307,0.375,8,7,35,3.9271317829457364,0,310,1,-1572993
000002134416000050_a2015123110-k-t238,0.25,6,10,45,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t140,0.38419117647058826,32,15,335,1.025506072874494,1266,31,1,-6575668
000003408808000057_r10q050608-t14,0.046052631578947366,19,16,290,1.1675053918044571,812,116,1,-3015768
000002134416000050_a2015123110-k-t436,0.0,18,2,36,1.58411507191995,1266,467,0,-8781911
000003799620000010_f1231201910-k-t367,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000003799620000010_f1231201910-k-t53,0.34285714285714286,10,7,46,3.272609819121447,0,246,1,-1246236
000003799620000010_f1231201910-k-t339,0.23076923076923078,2,13,20,10.17269076305221,0,508,1,-2576061
000002134416000050_a2015123110-k-t47,0.1,5,6,27,3.1861635220125786,0,235,1,-1193043
000003799615000064_f0930201510-q-t48,0.4564102564102564,15,13,106,2.2964641885766093,0,81,1,-412879
000002134416000050_a2015123110-k-t197,0.2777777777777778,6,3,13,4.956947162426615,0,377,1,-1912415
000003799620000010_f1231201910-k-t155,0.3,11,10,77,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t294,0.3939393939393939,11,9,60,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t213,0.30666666666666664,15,10,104,2.2964641885766093,0,81,1,-412879
000009341016000049_cvx-123115x10kdoc-t23,0.0,8,4,32,1.5880877742946709,1266,469,0,-8792043
000003408808000057_r10q050608-t13,0.13,25,16,348,1.1323960164030462,966,113,1,-4173347
000003408819000010_xom10k2018-t70,0.08163265306122448,14,7,90,2.25355871886121,0,71,1,-359686
000009341016000049_cvx-123115x10kdoc-t121,0.4461538461538462,25,13,180,1.4416619237336368,1266,388,1,-8381697
000003408819000010_xom10k2018-t39,0.029411764705882353,17,4,66,1.8888888888888888,1266,596,1,-9435425
000003799620000010_f1231201910-k-t409,0.2727272727272727,22,11,176,1.4383872799545712,1266,386,1,-8371565
000002134416000050_a2015123110-k-t90,0.2267080745341615,23,14,249,1.4658564814814814,1266,402,1,-8455154
000003799615000064_f0930201510-q-t58,0.3619047619047619,35,9,201,1.0484271523178808,1266,58,1,-6712450
000009341016000049_cvx-123115x10kdoc-t141,0.4567901234567901,9,9,44,3.1387856257744735,0,229,1,-1162647
000007085816000166_bac-331201610xq-t491,0.36324786324786323,36,13,298,0.9810224632068164,1315,0,1,-6793242
000009341016000049_cvx-123115x10kdoc-t38,0.21428571428571427,2,7,11,10.17269076305221,0,508,1,-2576061
000003799620000010_f1231201910-k-t350,0.44019138755980863,11,19,117,3.0118906064209274,0,212,1,-1076525
000007085816000166_bac-331201610xq-t279,0.47058823529411764,24,17,216,1.2386308068459657,1266,244,1,-7652193
000002134416000050_a2015123110-k-t267,0.36363636363636365,11,13,91,3.0118906064209274,0,212,1,-1076525
000003799615000064_f0930201510-q-t131,0.3333333333333333,6,8,32,4.956947162426615,0,377,1,-1912415
000003799615000064_f0930201510-q-t19,0.0,21,3,63,1.694314381270903,1266,519,0,-9045343
000003799620000010_f1231201910-k-t301,0.20833333333333334,6,4,19,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t11,0.40714285714285714,20,7,83,1.7091767881241566,1266,525,1,-9078272
000003799620000010_f1231201910-k-t49,0.22,20,5,78,1.768854748603352,1266,550,1,-9204922
000003799620000010_f1231201910-k-t351,0.38649155722326456,41,13,327,0.8713450292397661,1640,0,1,-9537867
000003799620000010_f1231201910-k-t318,0.26666666666666666,10,3,22,3.272609819121447,0,246,1,-1246236
000007085816000166_bac-331201610xq-t392,0.30952380952380953,6,7,29,4.956947162426615,0,377,1,-1912415
000002134416000050_a2015123110-k-t236,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000009341016000049_cvx-123115x10kdoc-t124,0.46296296296296297,6,9,29,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t304,0.49230769230769234,20,13,132,1.768854748603352,1266,550,1,-9204922
000007085816000166_bac-331201610xq-t324,0.28846153846153844,16,13,148,1.694314381270903,1266,519,1,-9045343
000007085816000166_bac-331201610xq-t508,0.3448275862068966,29,21,399,1.068776371308017,1266,81,1,-6828968
000003408808000057_r10q050608-t6,0.06666666666666667,18,5,84,1.1986143187066975,778,129,1,-2825955
000002134416000050_a2015123110-k-t271,0.37037037037037035,9,9,51,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t261,0.49572649572649574,9,13,59,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t104,0.41414141414141414,11,9,58,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t375,0.2895927601809955,13,17,157,2.611340206185567,0,148,1,-749768
000003799620000010_f1231201910-k-t219,0.41798941798941797,21,9,110,1.5880877742946709,1266,469,1,-8792043
000003799620000010_f1231201910-k-t251,0.047619047619047616,7,3,20,2.8849658314350797,0,194,1,-982804
000003799620000010_f1231201910-k-t44,0.11428571428571428,5,7,31,5.692134831460674,0,410,1,-2079593
000002134416000050_a2015123110-k-t155,0.3627906976744186,43,5,137,0.861271676300578,1674,0,1,-9849409
000003408819000010_xom10k2018-t74,0.03333333333333333,10,3,29,3.0299043062200957,0,215,1,-1089190
000002134416000050_a2015123110-k-t4,0.0,9,2,18,3.545968882602546,0,273,0,-1368822
000002134416000050_a2015123110-k-t259,0.3968253968253968,14,9,76,2.444980694980695,0,115,1,-582590
000003799620000010_f1231201910-k-t69,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000003799620000010_f1231201910-k-t9,0.0,23,3,69,1.555896805896806,1266,452,0,-8708454
000003408808000057_r10q050608-t20,0.07058823529411765,17,5,79,1.3287337662337662,818,202,1,-3342754
000003799620000010_f1231201910-k-t333,0.36507936507936506,18,7,80,1.9499615088529638,1266,617,1,-9541811
000003799620000010_f1231201910-k-t376,0.37142857142857144,21,5,66,1.694314381270903,1266,519,1,-9045343
000009341016000049_cvx-123115x10kdoc-t42,0.21428571428571427,2,7,11,10.17269076305221,0,508,1,-2576061
000003799620000010_f1231201910-k-t331,0.36507936507936506,18,7,80,1.9499615088529638,1266,617,1,-9541811
000006480319000013_cvs-2018231x10k-t113,0.3,4,5,14,6.62041884816754,0,441,1,-2230578
000003799620000010_f1231201910-k-t71,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000003799620000010_f1231201910-k-t306,0.3111111111111111,9,5,31,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t628,0.30434782608695654,3,8,16,8.015822784810126,0,475,1,-2406350
000002134416000050_a2015123110-k-t245,0.15,5,4,17,5.692134831460674,0,410,1,-2079593
000002134416000050_a2015123110-k-t297,0.2956521739130435,23,5,81,1.555896805896806,1266,452,1,-8708454
000003799615000064_f0930201510-q-t122,0.2857142857142857,6,7,30,4.956947162426615,0,377,1,-1912415
000002134416000050_a2015123110-k-t172,0.26666666666666666,6,5,22,4.915851272015655,0,372,1,-1871440
000002134416000050_a2015123110-k-t354,0.21428571428571427,4,7,22,6.630890052356021,0,442,1,-2239172
000009341016000049_cvx-123115x10kdoc-t105,0.3904761904761905,15,7,64,2.2964641885766093,0,81,1,-412879
000009341016000049_cvx-123115x10kdoc-t15,0.08571428571428572,15,7,96,2.2964641885766093,0,81,1,-412879
000003799615000064_f0930201510-q-t13,0.36428571428571427,28,5,89,1.2943280531425652,1266,288,1,-7875097
000003799615000064_f0930201510-q-t46,0.36363636363636365,22,5,70,1.5723153320918684,1266,461,1,-8751515
000003799615000064_f0930201510-q-t70,0.3838383838383838,11,9,61,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t311,0.34285714285714286,5,7,23,5.692134831460674,0,410,1,-2079593
000009341016000049_cvx-123115x10kdoc-t125,0.4515235457063712,19,19,198,1.7278308321964528,1266,533,1,-9118800
000009341016000049_cvx-123115x10kdoc-t126,0.21052631578947367,10,19,150,3.272609819121447,0,246,1,-1246236
000002134416000050_a2015123110-k-t186,0.3404255319148936,12,8,62,2.792723263506064,0,179,1,-909347
000002134416000050_a2015123110-k-t144,0.0,9,7,63,3.582743988684583,0,279,0,-1415947
000002134416000050_a2015123110-k-t175,0.2604166666666667,16,6,71,2.0762295081967213,0,23,1,-116518
000003799620000010_f1231201910-k-t123,0.2692307692307692,13,10,95,2.611340206185567,0,148,1,-749768
000003799620000010_f1231201910-k-t59,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000003799620000010_f1231201910-k-t60,0.3492063492063492,7,9,41,4.382352941176471,0,344,1,-1742704
000003799620000010_f1231201910-k-t385,0.375,16,7,70,2.164957264957265,0,48,1,-243168
000003799615000064_f0930201510-q-t22,0.02564102564102564,13,3,38,1.519753086419753,1231,421,1,-8134448
000003799620000010_f1231201910-k-t363,0.15384615384615385,13,3,33,2.611340206185567,0,148,1,-749768
000002134416000050_a2015123110-k-t355,0.21428571428571427,4,7,22,6.630890052356021,0,442,1,-2239172
000006480319000013_cvs-2018231x10k-t124,0.0,13,2,26,1.613375796178344,1266,481,0,-8855368
000003799620000010_f1231201910-k-t168,0.336734693877551,14,7,65,2.444980694980695,0,115,1,-582590
000009341016000049_cvx-123115x10kdoc-t161,0.022727272727272728,28,11,301,1.2943280531425652,1266,288,1,-7875097
000003799620000010_f1231201910-k-t130,0.3492063492063492,7,9,41,4.382352941176471,0,344,1,-1742704
000003799620000010_f1231201910-k-t63,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000007085816000166_bac-331201610xq-t538,0.37320574162679426,19,10,131,1.8543191800878478,1266,583,1,-9372100
000003799620000010_f1231201910-k-t408,0.45751633986928103,9,17,83,3.346103038309115,0,254,1,-1289297
000002134416000050_a2015123110-k-t189,0.22857142857142856,7,5,27,4.382352941176471,0,344,1,-1742704
000003408819000010_xom10k2018-t50,0.11904761904761904,12,7,74,2.579429735234216,0,142,1,-719372
000002134416000050_a2015123110-k-t136,0.4155844155844156,14,11,90,2.444980694980695,0,115,1,-582590
000007085816000166_bac-331201610xq-t356,0.35294117647058826,17,7,77,1.7091767881241566,1266,525,1,-9078272
000009341016000049_cvx-123115x10kdoc-t142,0.41025641025641024,39,19,437,0.8365257595772787,1761,0,1,-10667644
000002134416000050_a2015123110-k-t23,0.0,5,4,20,5.683146067415731,0,409,0,-2071251
000007085816000166_bac-331201610xq-t411,0.4442857142857143,28,25,389,0.9810224632068164,1315,0,1,-6793242
000003799620000010_f1231201910-k-t211,0.2967032967032967,13,7,64,2.611340206185567,0,148,1,-749768
000007085816000166_bac-331201610xq-t294,0.3076923076923077,20,13,180,1.6011378002528445,1266,475,1,-8824972
000002134416000050_a2015123110-k-t256,0.3333333333333333,6,9,36,4.956947162426615,0,377,1,-1912415
000003799615000064_f0930201510-q-t67,0.2857142857142857,7,5,25,4.382352941176471,0,344,1,-1742704
000007085816000166_bac-331201610xq-t536,0.3956043956043956,7,13,55,4.382352941176471,0,344,1,-1742704
000003408819000010_xom10k2018-t51,0.0,3,4,12,7.629518072289157,0,467,0,-2365822
000003799620000010_f1231201910-k-t18,0.043478260869565216,23,4,88,1.555896805896806,1266,452,1,-8708454
000003799615000064_f0930201510-q-t68,0.2222222222222222,12,3,28,2.6468129571577848,0,154,1,-782697
000003799620000010_f1231201910-k-t364,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000007085816000166_bac-331201610xq-t643,0.3333333333333333,15,5,50,2.196877710320902,0,56,1,-286229
000007085816000166_bac-331201610xq-t529,0.35,8,5,26,3.6446043165467628,0,285,1,-1446343
000007085816000166_bac-331201610xq-t165,0.42857142857142855,7,7,28,4.0334394904458595,0,319,1,-1616054
000003799620000010_f1231201910-k-t142,0.35714285714285715,7,8,36,4.382352941176471,0,344,1,-1742704
000003408819000010_xom10k2018-t89,0.12781954887218044,19,7,116,1.7091767881241566,1266,525,1,-9078272
000007085816000166_bac-331201610xq-t483,0.35714285714285715,14,7,63,2.444980694980695,0,115,1,-582590
000003799620000010_f1231201910-k-t140,0.3492063492063492,7,9,41,4.382352941176471,0,344,1,-1742704
000003799615000064_f0930201510-q-t11,0.34,10,5,33,3.0740291262135924,0,221,1,-1119586
000003799620000010_f1231201910-k-t365,0.32,10,5,34,3.272609819121447,0,246,1,-1246236
000007085816000166_bac-331201610xq-t166,0.4,8,5,24,3.6446043165467628,0,285,1,-1446343
000003799620000010_f1231201910-k-t393,0.25925925925925924,18,3,40,1.9499615088529638,1266,617,1,-9541811
000007085816000166_bac-331201610xq-t606,0.4269005847953216,38,9,196,0.9258040935672515,1469,0,1,-8041104
000003799615000064_f0930201510-q-t50,0.32727272727272727,33,5,111,1.063392107472712,1266,75,1,-6798572
000003799620000010_f1231201910-k-t137,0.3673469387755102,7,7,31,4.382352941176471,0,344,1,-1742704
000002134416000050_a2015123110-k-t280,0.3111111111111111,10,9,62,3.272609819121447,0,246,1,-1246236
000009341016000049_cvx-123115x10kdoc-t32,0.3,25,10,175,1.4416619237336368,1266,388,1,-8381697
000007085816000166_bac-331201610xq-t627,0.40425531914893614,6,8,28,4.145662847790508,0,327,1,-1659115
000002134416000050_a2015123110-k-t243,0.16071428571428573,8,7,47,2.9976331360946746,0,210,1,-1066393
000007085816000166_bac-331201610xq-t102,0.403921568627451,15,17,152,2.2964641885766093,0,81,1,-412879
000003799615000064_f0930201510-q-t78,0.26666666666666666,3,5,11,6.920765027322404,0,450,1,-2279700
000003408819000010_xom10k2018-t64,0.047619047619047616,7,3,20,4.085483870967742,0,323,1,-1636318
000007085816000166_bac-331201610xq-t255,0.36507936507936506,27,7,120,1.2722250125565042,1266,271,1,-7788975
000003799620000010_f1231201910-k-t291,0.041666666666666664,8,3,23,2.5457286432160804,0,135,1,-686443
000007085816000166_bac-331201610xq-t114,0.29333333333333333,25,9,159,1.4017708909795241,1266,363,1,-8255047
000002134416000050_a2015123110-k-t156,0.4087301587301587,36,7,149,1.0205479452054795,1266,25,1,-6545272
000003799620000010_f1231201910-k-t129,0.25,8,3,18,3.9271317829457364,0,310,1,-1572993
000009341016000049_cvx-123115x10kdoc-t39,0.14285714285714285,3,7,18,8.015822784810126,0,475,1,-2406350
000003799620000010_f1231201910-k-t348,0.32,20,5,68,1.768854748603352,1266,550,1,-9204922
000009341016000049_cvx-123115x10kdoc-t156,0.024725274725274724,28,13,355,1.1539863325740318,1266,169,1,-7272243
000002134416000050_a2015123110-k-t81,0.35064935064935066,11,7,50,3.0118906064209274,0,212,1,-1076525
000003799620000010_f1231201910-k-t23,0.07023411371237458,23,13,278,1.555896805896806,1266,452,1,-8708454
000003799620000010_f1231201910-k-t212,0.3,12,10,84,2.792723263506064,0,179,1,-909347
000003799620000010_f1231201910-k-t402,0.26666666666666666,3,5,11,8.015822784810126,0,475,1,-2406350
000003408819000010_xom10k2018-t109,0.05,10,4,38,3.0299043062200957,0,215,1,-1089190
000007085816000166_bac-331201610xq-t148,0.4,24,5,72,1.37289972899729,1266,344,1,-8158793
000007085816000166_bac-331201610xq-t563,0.3333333333333333,26,6,104,1.3887061403508771,1266,354,1,-8211986
000003799620000010_f1231201910-k-t299,0.3625,8,10,51,3.9271317829457364,0,310,1,-1572993
000007085816000166_bac-331201610xq-t151,0.3515151515151515,33,5,107,1.0861921097770155,1266,100,1,-6925222
000007085816000166_bac-331201610xq-t461,0.33636363636363636,10,11,73,2.4736328125,0,121,1,-612986
000007085816000166_bac-331201610xq-t115,0.41818181818181815,11,5,32,3.0118906064209274,0,212,1,-1076525
